7,4,0,0,0,0,d,d
5,3,0,0,0,0,0,d
3,1,0,0,0,0,0,0
3,5,0,b,0,0,0,0
4,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
7,3,0,0,0,0,0,0
6,3,0,c,c,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
9,4,0,0,0,0,0,0
8,3,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
7,3,0,0,0,0,0,0
8,3,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,b,b,b,d,d,d
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
9,2,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
7,2,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
7,2,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,2,0,0,0,0,0,0
6,2,0,0,0,0,a,0
6,2,0,0,0,0,a,a
6,2,0,0,0,0,d,d
3,6,0,0,0,0,0,0
3,2,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,6,0,0,0,0,a,0
3,2,0,0,0,0,a,a
3,2,0,0,0,0,a,a
3,2,0,0,0,0,a,a
3,2,0,0,0,a,c,c
6,1,b,b,b,0,0,0
3,1,0,b,d,0,0,0
0,6,0,0,0,0,0,0
2,2,0,0,0,a,a,0
2,5,b,0,0,a,a,a
3,2,b,b,b,0,0,0
3,2,0,b,b,0,0,0
3,2,0,b,b,0,0,0
4,2,0,b,d,0,0,0
5,2,0,d,0,0,0,0
6,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
6,2,0,0,0,0,0,0
